metric,n,covariates,beta_age,se_age,t_age,p_age,r2,model,beta_meanz,se_meanz,p_meanz,FDR_q
clustering_w,109,age+sex_num+mean_FD,0.0015991512838646848,0.0003751372219221813,4.262843542079686,4.420889912399185e-05,0.15259803577389208,base,,,,0.00022104449561995924
clustering_w,109,age+sex_num+mean_FD+mean_z_upper,0.0009873911037102103,0.00031865617510218737,3.098609664142148,0.0025008447514108375,0.4368942471775369,+meanz,0.2346098111401424,0.03237717452333026,7.794545657842221e-11,0.006252111878527093
modularity_q,109,age+sex_num+mean_FD,0.0010596538371377424,0.0010492433584416007,1.0099218914395647,0.31485436093524455,0.021457038273977824,base,,,,0.7871359023381114
modularity_q,109,age+sex_num+mean_FD+mean_z_upper,0.0027683082240068818,0.0008919022618740905,3.1038246479945384,0.002460894554669512,0.34882441876380865,+meanz,-0.6552683486295551,0.09062204798381833,8.404136451844987e-11,0.006252111878527093
char_path_length,109,age+sex_num+mean_FD,-0.00042701546850523395,0.004535896232782559,-0.09414136624622033,0.9251762730769296,0.007221998225305004,base,,,,0.9251762730769296
char_path_length,109,age+sex_num+mean_FD+mean_z_upper,0.005476769784466571,0.004191168497501483,1.3067405397161875,0.19418305261460825,0.21939325033461154,+meanz,-2.2640995411991556,0.4258451726434406,6.076641075373582e-07,0.19418305261461094
small_worldness,109,age+sex_num+mean_FD,0.004333766483192594,0.006346962042492242,0.6828095794773128,0.49623093199329604,0.008202776976185322,base,,,,0.8270515533221601
small_worldness,109,age+sex_num+mean_FD+mean_z_upper,0.01290077824388265,0.0058041441478340105,2.222683984975969,0.028401762716291003,0.23615788252516545,+meanz,-3.2854459580931463,0.589732139892549,2.0001540744991315e-07,0.04733627119381834
mean_betweenness,109,age+sex_num+mean_FD,-4.357300699033174e-06,4.6284655436556754e-05,-0.09414136624622405,0.9251762730769267,0.007221998225304782,base,,,,0.9251762730769296
mean_betweenness,109,age+sex_num+mean_FD+mean_z_upper,5.5885405963944276e-05,4.276702548470903e-05,1.3067405397161795,0.19418305261461094,0.219393250334612,+meanz,-0.02310305654284854,0.004345358904524905,6.076641075373543e-07,0.19418305261461094
