subject_id,age,age_group,kappa_requested,kappa_final,connected_at_requested_kappa,bumped
sub-pixar001,4.774811773,child,0.1,0.1,True,False
sub-pixar002,4.856947296,child,0.1,0.1,True,False
sub-pixar003,4.153319644,child,0.1,0.38,False,True
sub-pixar004,4.473648186,child,0.1,0.1,True,False
sub-pixar005,4.837782341,child,0.1,0.18,False,True
sub-pixar007,4.249144422,child,0.1,0.23,False,True
sub-pixar008,3.529089665,child,0.1,0.1,True,False
sub-pixar009,3.518138261,child,0.1,0.1,True,False
sub-pixar010,4.358658453,child,0.1,0.17,False,True
sub-pixar011,3.983572895,child,0.1,0.14,False,True
sub-pixar013,3.849418207,child,0.1,0.25,False,True
sub-pixar014,3.635865845,child,0.1,0.18,False,True
sub-pixar015,4.76659822,child,0.1,0.1,True,False
sub-pixar017,3.613963039,child,0.1,0.12,False,True
sub-pixar018,4.577686516,child,0.1,0.1,True,False
sub-pixar019,3.969883641,child,0.1,0.24,False,True
sub-pixar020,3.594798084,child,0.1,0.15,False,True
sub-pixar021,4.364134155,child,0.1,0.11,False,True
sub-pixar022,3.822039699,child,0.1,0.13,False,True
sub-pixar023,3.865845311,child,0.1,0.1,True,False
sub-pixar024,4.057494867,child,0.1,0.1,True,False
sub-pixar025,3.93155373,child,0.1,0.13,False,True
sub-pixar026,3.93155373,child,0.1,0.13,False,True
sub-pixar030,4.156057495,child,0.1,0.18,False,True
sub-pixar031,4.084873374,child,0.1,0.15,False,True
sub-pixar032,5.43,child,0.1,0.1,True,False
sub-pixar033,5.81,child,0.1,0.1,True,False
sub-pixar035,5.99,child,0.1,0.26,False,True
sub-pixar037,5.52,child,0.1,0.14,False,True
sub-pixar038,5.55,child,0.1,0.1,True,False
sub-pixar039,5.54,child,0.1,0.13,False,True
sub-pixar041,5.49,child,0.1,0.13,False,True
sub-pixar043,5.79,child,0.1,0.19,False,True
sub-pixar044,5.76,child,0.1,0.26,False,True
sub-pixar045,5.18,child,0.1,0.31,False,True
sub-pixar047,5.47,child,0.1,0.15,False,True
sub-pixar048,5.99,child,0.1,0.14,False,True
sub-pixar049,5.23,child,0.1,0.14,False,True
sub-pixar050,5.31,child,0.1,0.1,True,False
sub-pixar051,5.38,child,0.1,0.15,False,True
sub-pixar052,5.46,child,0.1,0.14,False,True
sub-pixar053,5.46,child,0.1,0.1,True,False
sub-pixar054,5.99,child,0.1,0.24,False,True
sub-pixar055,5.82,child,0.1,0.33,False,True
sub-pixar056,5.26,child,0.1,0.1,True,False
sub-pixar057,5.66,child,0.1,0.24,False,True
sub-pixar058,5.13,child,0.1,0.24,False,True
sub-pixar059,5.51,child,0.1,0.3,False,True
sub-pixar060,5.12,child,0.1,0.12,False,True
sub-pixar062,5.46,child,0.1,0.27,False,True
sub-pixar063,5.33,child,0.1,0.1,True,False
sub-pixar065,5.02,child,0.1,0.1,True,False
sub-pixar066,7.0,child,0.1,0.1,True,False
sub-pixar067,7.92,child,0.1,0.1,True,False
sub-pixar069,7.96,child,0.1,0.1,True,False
sub-pixar070,7.15,child,0.1,0.13,False,True
sub-pixar071,7.13,child,0.1,0.33,False,True
sub-pixar072,7.91,child,0.1,0.38,False,True
sub-pixar073,7.95,child,0.1,0.1,True,False
sub-pixar074,7.95,child,0.1,0.11,False,True
sub-pixar076,7.06,child,0.1,0.1,True,False
sub-pixar077,9.45,child,0.1,0.16,False,True
sub-pixar079,7.07,child,0.1,0.14,False,True
sub-pixar101,11.17,child,0.1,0.23,False,True
sub-pixar102,11.17,child,0.1,0.13,False,True
sub-pixar110,10.78,child,0.1,0.27,False,True
sub-pixar111,8.62,child,0.1,0.1,True,False
sub-pixar112,12.05,child,0.1,0.11,False,True
sub-pixar113,10.29,child,0.1,0.11,False,True
sub-pixar114,7.43,child,0.1,0.13,False,True
sub-pixar115,9.68,child,0.1,0.13,False,True
sub-pixar116,7.68,child,0.1,0.49,False,True
sub-pixar118,10.5,child,0.1,0.19,False,True
sub-pixar119,8.62,child,0.1,0.12,False,True
sub-pixar120,11.48,child,0.1,0.11,False,True
sub-pixar121,8.76,child,0.1,0.13,False,True
sub-pixar122,7.21,child,0.1,0.21,False,True
sub-pixar123,27.06,adult,0.1,0.32,False,True
sub-pixar125,31.0,adult,0.1,0.16,False,True
sub-pixar126,19.0,adult,0.1,0.29,False,True
sub-pixar127,23.0,adult,0.1,0.32,False,True
sub-pixar128,27.0,adult,0.1,0.1,True,False
sub-pixar129,23.0,adult,0.1,0.1,True,False
sub-pixar130,21.0,adult,0.1,0.2,False,True
