metric,n,covariates,beta_age,se_age,p_age,r2,model,beta_gft,se_gft,p_gft,FDR_q
clustering_w,109,age+sex_num+mean_FD,0.0015991512838646848,0.0003751372219221813,4.420889912399185e-05,0.15259803577389208,base,,,,0.00022104449561995924
clustering_w,109,age+sex_num+mean_FD+median_graph_freq,0.0012714304181012184,0.00037377310774743173,0.0009517302573054722,0.228956101480442,+gft,-0.11419161128065222,0.03558194013108216,0.0017699939773897974,0.004758651286527361
modularity_q,109,age+sex_num+mean_FD,0.0010596538371377424,0.0010492433584416007,0.31485436093524455,0.021457038273977824,base,,,,0.7871359023381114
modularity_q,109,age+sex_num+mean_FD+median_graph_freq,0.0014621601517858808,0.0010864085064307323,0.1812723856572927,0.0384594456232098,+gft,0.1402499792414233,0.10342242829261522,0.17800800540468187,0.4531809641432317
char_path_length,109,age+sex_num+mean_FD,-0.00042701546850523395,0.004535896232782559,0.9251762730769296,0.007221998225305004,base,,,,0.9251762730769296
char_path_length,109,age+sex_num+mean_FD+median_graph_freq,0.00031155564897264107,0.004730481704526583,0.9476146961898186,0.01032976303845723,+gft,0.25734896602835267,0.4503259151414991,0.5689122606018664,0.9476146961898239
small_worldness,109,age+sex_num+mean_FD,0.004333766483192594,0.006346962042492242,0.49623093199329604,0.008202776976185322,base,,,,0.8270515533221601
small_worldness,109,age+sex_num+mean_FD+median_graph_freq,0.006250350685069073,0.006593840740163167,0.3453739742743254,0.01888064317956717,+gft,0.6678178322806966,0.6277114152602874,0.28984111468271184,0.5756232904572091
mean_betweenness,109,age+sex_num+mean_FD,-4.357300699033174e-06,4.6284655436556754e-05,0.9251762730769267,0.007221998225304782,base,,,,0.9251762730769296
mean_betweenness,109,age+sex_num+mean_FD+median_graph_freq,3.1791392752307166e-06,4.8270221474761074e-05,0.9476146961898239,0.01032976303845734,+gft,0.0026260098574321777,0.004595162399403055,0.5689122606018654,0.9476146961898239
