name,value
n_in_participants_tsv,155.0
n_with_bold_in_bucket,131.0
n_excluded_data_availability,24.0
pct_excluded_data_availability,15.5
n_included_at_primary,108.0
n_excluded_min_retained_at_primary,18.0
n_excluded_kappa_max_at_primary,5.0
pct_excluded_at_primary,17.6
n_kappa_bumped_at_primary,78.0
pct_kappa_bumped_at_primary,72.2
mean_kappa_final_at_primary,0.167
residual_fd_age_r_at_FD0.3,0.286
n_included_at_FD0.3,81.0
residual_fd_age_r_at_FD0.5,0.02
n_included_at_FD0.5,108.0
residual_fd_age_r_at_FD0.9,-0.165
n_included_at_FD0.9,119.0
