metric,n,covariates,beta_age,se_age,p_age,r2,model,kappa,beta_meanz,p_meanz
clustering_w,109,age+sex_num+mean_FD,0.0015081229113957438,0.0003750052910279987,0.00010912735501848111,0.1396760803470969,base,0.05,,
clustering_w,109,age+sex_num+mean_FD+mean_z_upper,0.0009041270928308987,0.0003205110712720516,0.005736886910014293,0.42122546519113235,+meanz,0.05,0.231632181236694,1.4960399541549747e-10
modularity_q,109,age+sex_num+mean_FD,0.0010394021895376042,0.001142411416773922,0.3649950501517614,0.016902151261526832,base,0.05,,
modularity_q,109,age+sex_num+mean_FD+mean_z_upper,0.002886858139117079,0.0009744718002644531,0.003782319282923231,0.3412412996232601,+meanz,0.05,-0.70849869847875,1.2132632515555496e-10
char_path_length,109,age+sex_num+mean_FD,-0.0003920533956096074,0.005716880647599345,0.9454557975444936,0.006557237637958346,base,0.05,,
char_path_length,109,age+sex_num+mean_FD+mean_z_upper,0.00687747763720936,0.005314987153990603,0.19853914162074096,0.20920270792583395,+meanz,0.05,-2.787862561202326,1.177038439490506e-06
small_worldness,109,age+sex_num+mean_FD,0.002565034387590478,0.007522181293173775,0.7337879089769622,0.002500814380863803,base,0.05,,
small_worldness,109,age+sex_num+mean_FD+mean_z_upper,0.012373002682343228,0.006947149452806739,0.07782887537713272,0.21643617598920994,+meanz,0.05,-3.7613523467960794,5.770334844488165e-07
mean_betweenness,109,age+sex_num+mean_FD,-4.0005448531593845e-06,5.833551681223826e-05,0.9454557975444919,0.006557237637958124,base,0.05,,
mean_betweenness,109,age+sex_num+mean_FD+mean_z_upper,7.017834323683017e-05,5.423456279582248e-05,0.19853914162074132,0.2092027079258344,+meanz,0.05,-0.028447577155125813,1.1770384394904798e-06
clustering_w,109,age+sex_num+mean_FD,0.0015991512838646848,0.0003751372219221813,4.420889912399185e-05,0.15259803577389208,base,0.1,,
clustering_w,109,age+sex_num+mean_FD+mean_z_upper,0.0009873911037102103,0.00031865617510218737,0.0025008447514108375,0.4368942471775369,+meanz,0.1,0.2346098111401424,7.794545657842221e-11
modularity_q,109,age+sex_num+mean_FD,0.0010596538371377424,0.0010492433584416007,0.31485436093524455,0.021457038273977824,base,0.1,,
modularity_q,109,age+sex_num+mean_FD+mean_z_upper,0.0027683082240068818,0.0008919022618740905,0.002460894554669512,0.34882441876380865,+meanz,0.1,-0.6552683486295551,8.404136451844987e-11
char_path_length,109,age+sex_num+mean_FD,-0.00042701546850523395,0.004535896232782559,0.9251762730769296,0.007221998225305004,base,0.1,,
char_path_length,109,age+sex_num+mean_FD+mean_z_upper,0.005476769784466571,0.004191168497501483,0.19418305261460825,0.21939325033461154,+meanz,0.1,-2.2640995411991556,6.076641075373582e-07
small_worldness,109,age+sex_num+mean_FD,0.004333766483192594,0.006346962042492242,0.49623093199329604,0.008202776976185322,base,0.1,,
small_worldness,109,age+sex_num+mean_FD+mean_z_upper,0.01290077824388265,0.0058041441478340105,0.028401762716291003,0.23615788252516545,+meanz,0.1,-3.2854459580931463,2.0001540744991315e-07
mean_betweenness,109,age+sex_num+mean_FD,-4.357300699033174e-06,4.6284655436556754e-05,0.9251762730769267,0.007221998225304782,base,0.1,,
mean_betweenness,109,age+sex_num+mean_FD+mean_z_upper,5.5885405963944276e-05,4.276702548470903e-05,0.19418305261461094,0.219393250334612,+meanz,0.1,-0.02310305654284854,6.076641075373543e-07
clustering_w,109,age+sex_num+mean_FD,0.0016827948981003428,0.0003858111633400898,3.0242007940664666e-05,0.16021974245541382,base,0.15,,
clustering_w,109,age+sex_num+mean_FD+mean_z_upper,0.0009958493330036416,0.00031142548381947704,0.0018357041991462653,0.4960812561297083,+meanz,0.15,0.26344337947951996,3.5609583164709403e-13
modularity_q,109,age+sex_num+mean_FD,0.0015113740542520013,0.0008262077332098427,0.07019389160109964,0.04876194105587395,base,0.15,,
modularity_q,109,age+sex_num+mean_FD+mean_z_upper,0.002868802698530819,0.00069914748915263,8.114476636278829e-05,0.3726867692996325,+meanz,0.15,-0.5205734014758114,5.2101033305843e-11
char_path_length,109,age+sex_num+mean_FD,0.0019606669294689556,0.002566951076004602,0.4466924796530939,0.011965544784147575,base,0.15,,
char_path_length,109,age+sex_num+mean_FD+mean_z_upper,0.005244421648012459,0.002382801474909488,0.029950741508664308,0.2159409657738387,+meanz,0.15,-1.2593187646726185,9.963599240112441e-07
small_worldness,109,age+sex_num+mean_FD,0.006751348493174338,0.004232207761323811,0.11366624992530891,0.03439190426196548,base,0.15,,
small_worldness,109,age+sex_num+mean_FD+mean_z_upper,0.012932631588015059,0.0037703026447123934,0.0008662808459300984,0.2942425016617565,+meanz,0.15,-2.3705198646929473,1.2227960074869352e-08
mean_betweenness,109,age+sex_num+mean_FD,2.000680540274406e-05,2.6193378326577587e-05,0.4466924796531029,0.011965544784146798,base,0.15,,
mean_betweenness,109,age+sex_num+mean_FD+mean_z_upper,5.351450661237107e-05,2.4314300764382544e-05,0.02995074150866726,0.21594096577383814,+meanz,0.15,-0.012850191476251199,9.96359924011276e-07
clustering_w,109,age+sex_num+mean_FD,0.0017295832484263292,0.00040809742664668115,4.85637977105716e-05,0.15707167348897,base,0.2,,
clustering_w,109,age+sex_num+mean_FD+mean_z_upper,0.0009435428839701712,0.0003101663817078862,0.0029744803915195497,0.5515763395821314,+meanz,0.2,0.3014461997298073,6.30082136358243e-16
modularity_q,109,age+sex_num+mean_FD,0.001689626262004341,0.0006531620063447398,0.011054716490947053,0.08249786396799796,base,0.2,,
modularity_q,109,age+sex_num+mean_FD+mean_z_upper,0.0026925550849042266,0.000570485836134996,7.39173859528614e-06,0.35539877902727846,+meanz,0.2,-0.3846228462730795,1.4929717445519348e-09
char_path_length,109,age+sex_num+mean_FD,0.0022991510988336693,0.0015350635215157125,0.1371968357757167,0.03136637580426993,base,0.2,,
char_path_length,109,age+sex_num+mean_FD+mean_z_upper,0.003685139855482842,0.001515105924727306,0.0167125836364845,0.13098161078978288,+meanz,0.2,-0.5315261943948589,0.0008037015885274012
small_worldness,109,age+sex_num+mean_FD,0.006229050843394987,0.0027830880605139645,0.02732017115797491,0.0590261724443526,base,0.2,,
small_worldness,109,age+sex_num+mean_FD+mean_z_upper,0.010144670516650635,0.0025120118357024788,0.00010314026174601865,0.29400252761415735,+meanz,0.2,-1.501638749692979,4.9412137560499674e-08
mean_betweenness,109,age+sex_num+mean_FD,2.34607254983021e-05,1.566391348485421e-05,0.13719683577572747,0.03136637580426904,base,0.2,,
mean_betweenness,109,age+sex_num+mean_FD+mean_z_upper,3.760346791308963e-05,1.5460264538033725e-05,0.016712583636486117,0.130981610789783,+meanz,0.2,-0.005423736677498561,0.0008037015885273974
clustering_w,109,age+sex_num+mean_FD,0.0017135638034469392,0.00041774708051563734,8.107510160231188e-05,0.1488029747857006,base,0.25,,
clustering_w,109,age+sex_num+mean_FD+mean_z_upper,0.0008567395853805278,0.0002982061871676353,0.00492992650399586,0.600540562557162,+meanz,0.25,0.3285917823714871,8.738042054430327e-19
modularity_q,109,age+sex_num+mean_FD,0.0014924657523895219,0.000545231201987851,0.007276564852947548,0.09634937353486117,base,0.25,,
modularity_q,109,age+sex_num+mean_FD+mean_z_upper,0.002277513392687009,0.0004882334553252863,9.22544747199401e-06,0.33268581285325693,+meanz,0.25,-0.3010654903686274,2.117716894897759e-08
char_path_length,109,age+sex_num+mean_FD,0.0010846062718612918,0.0009680292803660727,0.2650879687560699,0.022124150136450416,base,0.25,,
char_path_length,109,age+sex_num+mean_FD+mean_z_upper,0.0014925530490213891,0.00099735573261112,0.13754942650144528,0.04403268109844827,+meanz,0.25,-0.15644744370349806,0.12566504371578355
small_worldness,109,age+sex_num+mean_FD,0.004645168970433204,0.002011101979638014,0.022857865774662794,0.06643187964170649,base,0.25,,
small_worldness,109,age+sex_num+mean_FD+mean_z_upper,0.007467839337406533,0.0018166712429088868,7.8929212856054e-05,0.29843705102933626,+meanz,0.25,-1.0824930801139518,5.382110173846069e-08
mean_betweenness,109,age+sex_num+mean_FD,1.1067410937360413e-05,9.877849799653839e-06,0.2650879687560591,0.02212415013644997,base,0.25,,
mean_betweenness,109,age+sex_num+mean_FD+mean_z_upper,1.5230133153279968e-05,1.0177099312358404e-05,0.13754942650143423,0.04403268109844782,+meanz,0.25,-0.0015964024867703914,0.1256650437157842
